n,inclusion_error,exclusion_error
1,.43518519,.6388889
2,.42592594,.66666669
3,.4537037,.68518519
4,.47222221,.72222221
5,.37962964,.64814812
6,.4537037,.68518519
7,.4074074,.66666669
8,.3611111,.6111111
9,.39814815,.71296299
10,.47222221,.6574074
1,.44444445,.72222221
2,.37962964,.69444442
3,.49074075,.72222221
4,.44444445,.69444442
5,.4074074,.62962961
6,.47222221,.73148149
7,.4074074,.5925926
8,.5,.75
9,.48148149,.69444442
10,.4537037,.69444442
11,.44444445,.6388889
12,.47222221,.68518519
13,.47222221,.7037037
14,.44444445,.73148149
15,.42592594,.71296299
16,.41666666,.68518519
17,.39814815,.64814812
18,.42592594,.6574074
19,.37962964,.60185188
20,.4537037,.72222221
21,.5,.68518519
22,.44444445,.6574074
23,.50925928,.68518519
24,.41666666,.68518519
25,.35185185,.62037039
26,.43518519,.68518519
27,.43518519,.66666669
28,.47222221,.6574074
29,.37962964,.5925926
30,.4537037,.68518519
31,.41666666,.64814812
32,.42592594,.6388889
33,.4074074,.64814812
34,.47222221,.6388889
35,.47222221,.6574074
36,.3888889,.68518519
37,.41666666,.64814812
38,.35185185,.66666669
39,.37037036,.6388889
40,.44444445,.7037037
41,.44444445,.62962961
42,.37962964,.6574074
43,.44444445,.67592591
44,.44444445,.64814812
45,.4537037,.68518519
46,.46296296,.6388889
47,.42592594,.67592591
48,.41666666,.66666669
49,.4074074,.6574074
50,.4074074,.64814812
